18:35:14
2024-05-22 18:34:33 - CPU: 1.0%, Memory: 0.67%
2024-05-22 18:34:35 - CPU: 1.0%, Memory: 0.67%
2024-05-22 18:34:37 - CPU: 1.0%, Memory: 0.67%
2024-05-22 18:34:39 - CPU: 0.0%, Memory: 0.68%
2024-05-22 18:34:41 - CPU: 1.0%, Memory: 0.68%
2024-05-22 18:34:43 - CPU: 2.0%, Memory: 0.68%
2024-05-22 18:34:45 - CPU: 1.0%, Memory: 0.68%
2024-05-22 18:34:47 - CPU: 1.0%, Memory: 0.68%
2024-05-22 18:34:49 - CPU: 2.0%, Memory: 0.68%
2024-05-22 18:34:51 - CPU: 1.0%, Memory: 0.69%
2024-05-22 18:34:53 - CPU: 2.0%, Memory: 0.69%
2024-05-22 18:34:55 - CPU: 2.0%, Memory: 0.69%
2024-05-22 18:34:57 - CPU: 2.0%, Memory: 0.70%
2024-05-22 18:34:59 - CPU: 2.0%, Memory: 0.70%
2024-05-22 18:35:01 - CPU: 2.0%, Memory: 0.70%
2024-05-22 18:35:04 - CPU: 0.0%, Memory: 0.70%
2024-05-22 18:35:06 - CPU: 2.0%, Memory: 0.70%
2024-05-22 18:35:08 - CPU: 2.0%, Memory: 0.70%
2024-05-22 18:35:10 - CPU: 1.0%, Memory: 0.70%
2024-05-22 18:35:12 - CPU: 1.0%, Memory: 0.70%
2024-05-22 18:35:14 - CPU: 1.0%, Memory: 0.71%
2024-05-22 18:35:16 - CPU: 3.0%, Memory: 0.71%
2024-05-22 18:35:18 - CPU: 4.0%, Memory: 0.71%
2024-05-22 18:35:20 - CPU: 4.0%, Memory: 0.71%
2024-05-22 18:35:22 - CPU: 4.0%, Memory: 0.72%
2024-05-22 18:35:24 - CPU: 4.0%, Memory: 0.74%
2024-05-22 18:35:26 - CPU: 5.0%, Memory: 0.76%
2024-05-22 18:35:28 - CPU: 2.0%, Memory: 0.77%
2024-05-22 18:35:30 - CPU: 3.0%, Memory: 0.79%
2024-05-22 18:35:32 - CPU: 3.0%, Memory: 0.80%
2024-05-22 18:35:34 - CPU: 6.0%, Memory: 0.81%
2024-05-22 18:35:36 - CPU: 4.0%, Memory: 0.82%
2024-05-22 18:35:38 - CPU: 4.0%, Memory: 0.82%
2024-05-22 18:35:40 - CPU: 4.0%, Memory: 0.83%
2024-05-22 18:35:42 - CPU: 4.0%, Memory: 0.83%
2024-05-22 18:35:44 - CPU: 2.0%, Memory: 0.83%
2024-05-22 18:35:46 - CPU: 4.0%, Memory: 0.83%
2024-05-22 18:35:48 - CPU: 4.0%, Memory: 0.83%
2024-05-22 18:35:50 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:35:52 - CPU: 1.0%, Memory: 0.83%
2024-05-22 18:35:54 - CPU: 1.0%, Memory: 0.83%
2024-05-22 18:35:56 - CPU: 2.0%, Memory: 0.83%
2024-05-22 18:35:58 - CPU: 5.0%, Memory: 0.83%
2024-05-22 18:36:00 - CPU: 4.0%, Memory: 0.83%
2024-05-22 18:36:02 - CPU: 4.0%, Memory: 0.83%
2024-05-22 18:36:04 - CPU: 4.0%, Memory: 0.83%
2024-05-22 18:36:06 - CPU: 4.0%, Memory: 0.83%
2024-05-22 18:36:08 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:36:10 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:36:12 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:36:14 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:36:16 - CPU: 2.0%, Memory: 0.83%
2024-05-22 18:36:18 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:36:20 - CPU: 5.0%, Memory: 0.82%
2024-05-22 18:36:22 - CPU: 4.0%, Memory: 0.83%
2024-05-22 18:36:24 - CPU: 3.0%, Memory: 0.84%
2024-05-22 18:36:26 - CPU: 3.0%, Memory: 0.84%
2024-05-22 18:36:28 - CPU: 1.0%, Memory: 0.84%
2024-05-22 18:36:30 - CPU: 2.0%, Memory: 0.84%
2024-05-22 18:36:32 - CPU: 3.0%, Memory: 0.84%
2024-05-22 18:36:34 - CPU: 3.0%, Memory: 0.84%
2024-05-22 18:36:36 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:36:38 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:36:40 - CPU: 1.0%, Memory: 0.83%
2024-05-22 18:36:42 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:36:44 - CPU: 4.0%, Memory: 0.83%
2024-05-22 18:36:46 - CPU: 4.0%, Memory: 0.83%
2024-05-22 18:36:48 - CPU: 2.0%, Memory: 0.83%
2024-05-22 18:36:50 - CPU: 4.0%, Memory: 0.83%
2024-05-22 18:36:52 - CPU: 2.0%, Memory: 0.83%
2024-05-22 18:36:54 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:36:56 - CPU: 2.0%, Memory: 0.83%
2024-05-22 18:36:58 - CPU: 2.0%, Memory: 0.83%
2024-05-22 18:37:00 - CPU: 4.0%, Memory: 0.84%
