CPU (%),Memory (%)
1.0,0.74
1.0,0.74
1.0,0.74
0.0,0.74
1.0,0.74
0.0,0.74
1.0,0.74
1.0,0.74
1.0,0.74
1.0,0.74
2.0,0.74
3.0,0.75
3.0,0.76
3.0,0.77
2.0,0.78
3.0,0.80
3.0,0.81
2.0,0.81
3.0,0.81
3.0,0.82
1.0,0.82
4.0,0.82
3.0,0.82
3.0,0.82
3.0,0.82
3.0,0.82
2.0,0.82
3.0,0.82
3.0,0.82
3.0,0.82
2.0,0.82
3.0,0.82
2.0,0.82
3.0,0.83
2.0,0.83
3.0,0.83
2.0,0.83
3.0,0.83
3.0,0.83
2.0,0.83
3.0,0.83
4.0,0.83
2.0,0.83
3.0,0.83
5.0,0.83
4.0,0.83
3.0,0.83
2.0,0.84
3.0,0.84
2.0,0.84
2.0,0.84
3.0,0.84
3.0,0.84
2.0,0.84
2.0,0.84
2.0,0.84
2.0,0.84
2.0,0.84
5.0,0.84
2.0,0.84
2.0,0.84
3.0,0.84
2.0,0.84
1.0,0.84
2.0,0.84
3.0,0.84
3.0,0.84
3.0,0.84
1.0,0.84
2.0,0.84
3.0,0.84
0.0,0.84
1.0,0.84
1.0,0.84
2.0,0.84
1.0,0.84
1.0,0.84
2.0,0.84
1.0,0.84
1.0,0.84
