CPU (%),Memory (%)
1.0,0.74
1.0,0.74
1.0,0.74
1.0,0.74
1.0,0.74
0.0,0.74
0.0,0.74
1.0,0.74
0.0,0.74
1.0,0.74
4.0,0.78
6.0,0.81
8.0,0.89
5.0,0.89
8.0,0.95
8.0,1.02
7.0,1.04
7.0,1.15
7.0,1.24
6.0,1.25
7.0,1.31
7.0,1.39
7.0,1.39
7.0,1.51
6.0,1.58
7.0,1.59
8.0,1.65
11.0,1.80
20.0,1.92
7.0,1.92
7.0,1.92
7.0,1.96
8.0,2.09
16.0,2.26
8.0,2.26
8.0,2.28
8.0,2.28
7.0,2.30
8.0,2.43
8.0,2.57
20.0,2.69
9.0,2.70
7.0,2.71
8.0,2.71
8.0,2.72
9.0,2.84
10.0,2.97
9.0,3.12
9.0,3.22
8.0,3.22
9.0,3.22
7.0,3.23
9.0,3.24
9.0,3.25
8.0,3.38
10.0,3.52
9.0,3.67
9.0,3.82
9.0,3.89
10.0,3.90
10.0,3.90
9.0,3.90
9.0,3.90
10.0,3.91
9.0,3.91
10.0,3.94
9.0,4.04
10.0,4.15
9.0,4.27
9.0,4.41
10.0,4.54
5.0,4.63
5.0,4.63
4.0,4.63
6.0,4.63
5.0,4.64
6.0,4.64
5.0,4.64
4.0,4.64
4.0,4.64
