CPU (%),Memory (%)
2.0,0.68
1.0,0.68
2.0,0.68
4.0,0.66
1.0,0.68
2.0,0.68
3.0,0.68
2.0,0.68
5.0,0.70
3.0,0.70
2.0,0.70
30.0,0.88
40.9,1.00
46.9,1.15
50.0,1.36
44.0,1.42
40.0,1.56
28.0,1.78
40.0,1.82
37.0,2.05
41.0,2.12
40.0,2.26
55.9,2.58
26.0,2.59
37.0,2.70
43.9,3.04
42.9,3.14
43.0,3.14
42.9,3.33
64.9,3.70
42.9,3.71
42.9,3.73
43.9,3.83
44.0,4.16
74.9,4.51
43.0,4.53
42.0,4.53
42.9,4.55
41.0,4.75
41.9,5.07
41.9,5.40
45.9,5.56
47.0,5.58
46.0,5.60
43.0,5.62
45.9,5.73
44.9,6.07
26.0,6.41
107.9,6.70
46.9,6.70
47.0,6.71
47.0,6.72
44.9,6.73
31.0,6.83
34.0,7.15
47.0,7.48
52.9,7.84
54.9,7.98
49.0,7.99
28.0,7.99
48.9,7.99
49.9,8.00
47.9,8.03
53.9,8.20
52.0,8.53
36.0,8.86
53.9,9.21
49.9,9.56
134.8,9.85
48.9,9.85
51.0,9.86
30.0,9.86
30.0,9.86
31.0,9.86
32.0,9.86
29.0,9.86
31.0,9.86
19.0,9.86
29.0,9.86
30.0,9.87
